2022-12-02 16:47:26,817 INFO    MainThread:27180 [wandb_setup.py:_flush():68] Configure stats pid to 27180
2022-12-02 16:47:26,818 INFO    MainThread:27180 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aves\.config\wandb\settings
2022-12-02 16:47:26,818 INFO    MainThread:27180 [wandb_setup.py:_flush():68] Loading settings from c:\Users\aves\Documents\RTSNet_constrained\wandb\settings
2022-12-02 16:47:26,818 INFO    MainThread:27180 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-02 16:47:26,818 INFO    MainThread:27180 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main_car.py', 'program': 'c:\\Users\\aves\\Documents\\RTSNet_constrained\\main_car.py'}
2022-12-02 16:47:26,818 INFO    MainThread:27180 [wandb_init.py:_log_setup():476] Logging user logs to c:\Users\aves\Documents\RTSNet_constrained\wandb\run-20221202_164726-2ma0j9jf\logs\debug.log
2022-12-02 16:47:26,819 INFO    MainThread:27180 [wandb_init.py:_log_setup():477] Logging internal logs to c:\Users\aves\Documents\RTSNet_constrained\wandb\run-20221202_164726-2ma0j9jf\logs\debug-internal.log
2022-12-02 16:47:26,819 INFO    MainThread:27180 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001C073333280>
2022-12-02 16:47:26,819 INFO    MainThread:27180 [wandb_init.py:init():516] calling init triggers
2022-12-02 16:47:26,819 INFO    MainThread:27180 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-02 16:47:26,819 INFO    MainThread:27180 [wandb_init.py:init():569] starting backend
2022-12-02 16:47:26,819 INFO    MainThread:27180 [wandb_init.py:init():573] setting up manager
2022-12-02 16:47:26,823 INFO    MainThread:27180 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-12-02 16:47:26,828 INFO    MainThread:27180 [wandb_init.py:init():580] backend started and connected
2022-12-02 16:47:26,853 INFO    MainThread:27180 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-12-02 16:47:26,857 INFO    MainThread:27180 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-12-02 16:47:26,857 INFO    MainThread:27180 [wandb_init.py:init():658] updated telemetry
2022-12-02 16:47:26,940 INFO    MainThread:27180 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-02 16:47:27,432 INFO    MainThread:27180 [wandb_run.py:_on_init():2000] communicating current version
2022-12-02 16:47:27,617 INFO    MainThread:27180 [wandb_run.py:_on_init():2004] got version response 
2022-12-02 16:47:27,617 INFO    MainThread:27180 [wandb_init.py:init():728] starting run threads in backend
2022-12-02 16:47:32,699 INFO    MainThread:27180 [wandb_run.py:_console_start():1980] atexit reg
2022-12-02 16:47:32,700 INFO    MainThread:27180 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-02 16:47:32,700 INFO    MainThread:27180 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-02 16:47:32,700 INFO    MainThread:27180 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-02 16:47:32,701 INFO    MainThread:27180 [wandb_init.py:init():765] run started, returning control to user process
2022-12-02 16:47:36,115 INFO    MainThread:27180 [wandb_init.py:_pause_backend():389] pausing backend
2022-12-02 16:47:36,115 INFO    MainThread:27180 [jupyter.py:save_ipynb():378] not saving jupyter notebook
